Field Word,Type,Level,Page
civilize,v.,6,12
claim,v./n.,2,12
clam,n.,5,12
clamp,v./n.,6,12
clan,n.,5,12
clap,v./n.,2,12
clarify,v.,4,12
clarity,n.,6,12
clash,n./v.,4,12
clasp,n./v.,5,12
class,n./v.,1,12
classic,adj./n.,2,12
classical,adj.,3,12
classification,n.,4,12
classify,v.,4,12
clause,n.,5,12
claw,n./v.,2,12
clay,n.,2,12
clean,adj./v./adv./n.,1,12
cleaner,n.,2,12
cleanse,v.,6,12
clear,adj./v./adv.,1,12
clearance,n.,6,12
clench,v./n.,6,12
clerk,n.,2,12
clever,adj.,2,12
click,v./n.,3,12
client,n.,3,12
cliff,n.,4,12
climate,n.,2,12
climax,n./v.,4,12
climb,v./n.,1,12
cling,v.,5,12
clinic,n.,3,13
clinical,adj.,6,13
clip,n./v.,3,13
clock,n.,1,13
clockwise,adv./adj.,5,13
clone,n./v.,6,13
close (1),adj./adv.,1,13
close (2),v./n.,1,13
closet,n.,2,13
closure,n.,6,13
cloth,n.,2,13
clothe,v.,2,13
clothes,n.,2,13
clothing,n.,2,13
cloud,n./v.,1,13
cloudy,adj.,2,13
clover,n.,5,13
clown,n./v.,2,13
club,n./v.,2,13
clue,n.,3,13
clumsy,adj.,4,13
cluster,n./v.,5,13
clutch,v./n.,5,13
coach,n./v.,2,13
coal,n.,2,13
coarse,adj.,4,13
coast,n.,1,13
coastline,n.,5,13
coat,n./v.,1,13
cock,n.,2,13
cockroach/roach,n.,2,13
cocktail,n.,3,13
cocoa,n.,1,13
coconut,n.,3,13
cocoon,n./v.,5,13
code,n./v.,4,13
coffee,n.,1,13
coffin,n.,6,13
coherent,adj.,6,13
coil,n./v.,5,13
coin,n./v.,2,13
coincide,v.,6,13
coincidence,n.,6,13
cola/Coke,n.,1,13
cold,adj./n.,1,13
collapse,v./n.,4,13
collar,n.,3,13
colleague,n.,5,13
collect,v.,2,13
collection,n.,3,13
collective,adj./n.,6,13
collector,n.,6,13
college,n.,3,13
collide,v.,6,13
collision,n.,6,13
colloquial,adj.,6,13
colonel,n.,5,13
colonial,adj./n.,5,13
colony,n.,3,13
color,n./v.,1,13
colorful,adj.,2,13
column,n.,3,13
columnist,n.,6,13
comb,n./v.,2,13
combat,n./v.,5,13
combination,n.,4,13
combine,v.,3,13
come,v.,1,13
comedian,n.,5,13
comedy,n.,4,13
comet,n.,5,13
comfort,n./v.,3,13
comfortable,adj.,2,13
comic (1),adj.,4,13
comic(s) (2),n.,4,13
comma,n.,3,13
command,v./n.,3,13
commander,n.,4,13
commemorate,v.,6,13
commence,v.,6,13
comment,n./v.,4,13
commentary,n.,6,13
commentator,n.,5,13
commerce,n.,4,13
commercial,adj./n.,3,13
commission,n./v.,5,13
commit,v.,4,14
commitment,n.,6,14
committee,n.,3,14
commodity,n.,5,14
common,adj./n.,1,14
commonplace,adj./n.,5,14
communicate,v.,3,14
communication,n.,4,14
communicative,adj.,6,14
communism,n.,5,14
communist,n./adj.,5,14
community,n.,4,14
commute,v.,5,14
commuter,n.,5,14
compact,adj./v./n.,5,14
companion,n.,4,14
companionship,n.,6,14
company,n.,2,14
comparable,adj.,6,14
comparative,adj.,6,14
compare,v.,2,14
comparison,n.,3,14
compass,n./v.,5,14
compassion,n.,5,14
compassionate,adj.,5,14
compatible,adj.,6,14
compel,v.,5,14
compensate,v.,6,14
compensation,n.,6,14
compete,v.,3,14
competence,n.,6,14
competent,adj.,6,14
competition,n.,4,14
competitive,adj.,4,14
competitor,n.,4,14
compile,v.,6,14
complain,v.,2,14
complaint,n.,3,14
complement,n./v.,6,14
complete,adj./v.,2,14
complex,adj./n.,3,14
complexion,n.,6,14
complexity,n.,6,14
complicate,v.,4,14
complication,n.,6,14
compliment,n./v.,5,14
component,n./adj.,6,14
compose,v.,4,14
composer,n.,4,14
composition,n.,4,14
compound,n./adj./v.,5,14
comprehend,v.,5,14
comprehension,n.,5,14
comprehensive,adj.,6,14
comprise,v.,6,14
compromise,n./v.,5,14
compute,v.,5,14
computer,n.,2,14
computerize,v.,5,14
comrade,n.,5,14
conceal,v.,5,14
concede,v.,6,14
conceit,n.,6,14
conceive,v.,5,14
